meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed,date_only,time_only
1970-01-01 00:00:00.000001264,9955,4,1,,,31.326,36.909,297.0,233,False,,"[2048, 2049, 2051, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2051, 2049, 2051]","[2051, 2051, 2049, 2051, 2049, 2051, 2051, 2051]",293,1970-01-01,00:00:00.000001
1970-01-01 00:00:00.000001264,9955,4,2,2025-06-29T13:19:30.319000+00:00,26.438,53.661,34.327,131.0,186,False,114.426,"[2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2049, 2048, 2048, 2048]",165,1970-01-01,00:00:00.000001
1970-01-01 00:00:00.000001264,9955,4,3,2025-06-29T13:21:24.745000+00:00,26.434,50.148,36.44,137.0,159,False,113.022,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2051, 2051, 2051, 2049, 2051]",172,1970-01-01,00:00:00.000001
1970-01-01 00:00:00.000001264,9955,4,4,2025-06-29T13:23:17.918000+00:00,17.564,31.393,21.297,298.0,234,False,70.254,"[2049, 2051, 2051, 2049, 2049, 2049]","[2048, 2051, 2048, 2048, 2048, 2051, 2051]","[2051, 2051, 2049, 2048, 2048, 2048, 2049, 2049]",295,1970-01-01,00:00:00.000001
1970-01-01 00:00:00.000001264,9955,4,5,2025-06-29T13:24:28.294000+00:00,17.488,31.43,20.94,289.0,232,False,69.858,"[None, 2048, 2051, 2049, 2049, 2048]","[2048, 2049, 2048, 2048, 2051, 2048, 2051]","[2051, 2051, 2049, 2051, 2048, 2051, 2051, 2051]",281,1970-01-01,00:00:00.000001
1970-01-01 00:00:00.000001264,9955,4,6,2025-06-29T13:25:38.001000+00:00,17.46,31.107,20.893,292.0,229,False,69.46,"[None, 2048, 2048, 2049, 2049, 2048]","[2048, 2051, 2048, 2048, 2048, 2048, 2051]","[2051, 2051, 2048, 2051, 2048, 2048, 2049, 2049]",288,1970-01-01,00:00:00.000001
1970-01-01 00:00:00.000001264,9955,4,7,2025-06-29T13:26:47.567000+00:00,17.393,30.992,20.928,294.0,229,False,69.313,"[2048, 2048, 2051, 2049, 2049, 2049]","[2048, 2051, 2048, 2048, 2048, 2048, 2051]","[2051, 2048, 2049, 2051, 2048, 2048, 2048, 2048]",286,1970-01-01,00:00:00.000001
1970-01-01 00:00:00.000001264,9955,4,8,2025-06-29T13:27:56.806000+00:00,17.407,31.156,20.831,298.0,218,False,69.394,"[None, 2048, 2048, 2048, 2049, 2049]","[2049, 2051, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2051, 2048, 2051, 2048, 2048]",288,1970-01-01,00:00:00.000001
1970-01-01 00:00:00.000001264,9955,4,9,2025-06-29T13:29:06.190000+00:00,17.509,31.005,20.974,300.0,222,False,69.488,"[None, 2048, 2048, 2048, 2048, 2048]","[2049, 2051, 2048, 2049, 2051, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048]",293,1970-01-01,00:00:00.000001
1970-01-01 00:00:00.000001264,9955,4,10,2025-06-29T13:30:15.566000+00:00,17.565,31.344,21.043,,222,False,69.952,"[None, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048]",293,1970-01-01,00:00:00.000001
1970-01-01 00:00:00.000001264,9955,4,11,2025-06-29T13:31:25.484000+00:00,17.955,31.89,21.101,,222,False,70.946,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048]",290,1970-01-01,00:00:00.000001
1970-01-01 00:00:00.000001264,9955,4,12,2025-06-29T13:32:36.433000+00:00,17.671,31.361,21.152,,223,False,70.184,"[None, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048]",294,1970-01-01,00:00:00.000001
1970-01-01 00:00:00.000001264,9955,4,13,2025-06-29T13:33:46.660000+00:00,17.656,31.335,21.055,298.0,221,False,70.046,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",293,1970-01-01,00:00:00.000001
1970-01-01 00:00:00.000001264,9955,4,14,2025-06-29T13:34:56.761000+00:00,17.749,31.468,22.101,300.0,227,False,71.318,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",288,1970-01-01,00:00:00.000001
1970-01-01 00:00:00.000001264,9955,4,15,2025-06-29T13:36:08.041000+00:00,17.978,31.803,21.493,,225,False,71.274,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",297,1970-01-01,00:00:00.000001
