meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1264,9955,81,1,,,31.807,38.205,305.0,231,False,,"[2048, 2051, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]",292
1264,9955,81,2,2025-06-29T13:19:32.211000+00:00,26.102,53.522,33.884,146.0,157,False,113.508,"[2051, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2051, 2049, 2048, 0]",125
1264,9955,81,3,2025-06-29T13:21:25.714000+00:00,26.757,50.158,35.722,189.0,172,False,112.637,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2049, 2049, 2049, 2051, 2051]",159
1264,9955,81,4,2025-06-29T13:23:18.340000+00:00,17.676,31.464,21.387,297.0,230,False,70.527,"[2049, 2049, 2049, 2049, 2048, 2048]","[2048, 2049, 2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2048, 2048, 2049, 2051, 2051]",293
1264,9955,81,5,2025-06-29T13:24:28.878000+00:00,17.389,31.227,21.321,311.0,229,False,69.937,"[2048, 2048, 2049, 2049, 2049, 2049]","[2048, 2049, 2049, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2049, 2051, 2051]",304
1264,9955,81,6,2025-06-29T13:25:38.861000+00:00,17.162,31.155,21.023,312.0,229,False,69.34,"[2049, 2051, 2049, 2049, 2049, 2049]","[2048, 2049, 2051, 2049, 2048, 2048, 2048]","[2049, 2049, 2049, 2049, 2049, 2048, 2051, 2049]",316
1264,9955,81,7,2025-06-29T13:26:48.108000+00:00,17.179,31.136,21.13,310.0,228,False,69.445,"[None, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]",304
1264,9955,81,8,2025-06-29T13:27:57.632000+00:00,17.181,31.147,21.126,312.0,226,False,69.454,"[2048, 2048, 2049, 2049, 2049, 2049]","[2048, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",306
1264,9955,81,9,2025-06-29T13:29:07.111000+00:00,17.212,30.935,21.124,316.0,229,False,69.271,"[None, 2048, 2048, 2048, 2048, 2049]","[2049, 2048, 2048, 2048, 2049, 2048, 2048]","[2049, 2048, 2049, 2048, 2048, 2048, 2048, 2048]",309
1264,9955,81,10,2025-06-29T13:30:16.254000+00:00,17.286,31.203,21.36,315.0,229,False,69.849,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2051, 2049, 2048, 2048, 2048]","[2048, 2048, 2051, 2048, 2048, 2048, 2048, 2048]",316
1264,9955,81,11,2025-06-29T13:31:26.221000+00:00,17.251,32.143,21.614,319.0,224,False,71.008,"[None, 2048, 2048, 2048, 2049, 2049]","[2051, 2048, 2048, 2048, 2048, 2051, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",291
1264,9955,81,12,2025-06-29T13:32:37.297000+00:00,17.481,31.496,21.464,311.0,225,False,70.441,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",307
1264,9955,81,13,2025-06-29T13:33:47.662000+00:00,17.366,31.305,21.324,,228,False,69.995,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",307
1264,9955,81,14,2025-06-29T13:34:57.660000+00:00,17.409,31.46,21.811,,225,False,70.68,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",305
